# This file shows results of an evaluation of saliencymaps as described in
# R. Achanta, S. Hemami, F. Estrada and S. Süsstrunk, Frequency-tuned Salient Region Detection, IEEE International Conference on Computer Vision and Pattern Recognition (CVPR), 2009.
#
# threshold mean_precision mean_recall
180 0.000 0.000 
181 0.000 0.000 
182 0.000 0.000 
183 0.000 0.000 
184 0.000 0.000 
185 0.000 0.000 
186 0.000 0.000 
187 0.000 0.000 
188 0.000 0.000 
189 0.000 0.000 
190 0.000 0.000 
191 0.000 0.000 
192 0.000 0.000 
193 0.000 0.000 
194 0.000 0.000 
195 0.000 0.000 
196 0.000 0.000 
197 0.000 0.000 
198 0.000 0.000 
199 0.000 0.000 
200 0.000 0.000 
201 0.000 0.000 
202 0.000 0.000 
203 0.000 0.000 
204 0.000 0.000 
205 0.000 0.000 
206 0.000 0.000 
207 0.000 0.000 
208 0.000 0.000 
209 0.000 0.000 
210 0.000 0.000 
211 0.000 0.000 
212 0.000 0.000 
213 0.000 0.000 
214 0.000 0.000 
215 0.000 0.000 
216 0.000 0.000 
217 0.000 0.000 
218 0.000 0.000 
219 0.000 0.000 
220 0.000 0.000 
221 0.000 0.000 
222 0.000 0.000 
223 0.000 0.000 
224 0.000 0.000 
225 0.000 0.000 
226 0.000 0.000 
227 0.000 0.000 
228 0.000 0.000 
229 0.000 0.000 
230 0.000 0.000 
231 0.000 0.000 
232 0.000 0.000 
233 0.000 0.000 
234 0.000 0.000 
235 0.000 0.000 
236 0.000 0.000 
237 0.000 0.000 
238 0.000 0.000 
239 0.000 0.000 
240 0.000 0.000 
241 0.000 0.000 
242 0.000 0.000 
243 0.000 0.000 
244 0.000 0.000 
245 0.000 0.000 
246 0.000 0.000 
247 0.000 0.000 
248 0.000 0.000 
249 0.000 0.000 
250 0.000 0.000 
251 0.000 0.000 
252 0.000 0.000 
253 0.000 0.000 
254 0.000 0.000 
255 0.000 0.000 
