# This file shows results of an evaluation of saliencymaps as described in
# R. Achanta, S. Hemami, F. Estrada and S. Süsstrunk, Frequency-tuned Salient Region Detection, IEEE International Conference on Computer Vision and Pattern Recognition (CVPR), 2009.
#
# threshold mean_precision mean_recall
98 0.3226 0.6727 
99 0.3225 0.6528 
100 0.3220 0.6329 
101 0.3220 0.6329 
102 0.3212 0.6133 
103 0.3199 0.5939 
104 0.3199 0.5939 
105 0.3184 0.5750 
106 0.3166 0.5562 
107 0.3146 0.5381 
108 0.3146 0.5381 
109 0.3123 0.5203 
110 0.3099 0.5034 
111 0.3073 0.4870 
112 0.3073 0.4870 
113 0.3046 0.4713 
114 0.3019 0.4563 
115 0.2991 0.4418 
116 0.2963 0.4280 
117 0.2963 0.4280 
118 0.2935 0.4149 
119 0.2907 0.4023 
120 0.2878 0.3902 
121 0.2849 0.3787 
122 0.2820 0.3677 
123 0.2790 0.3571 
124 0.2790 0.3571 
125 0.2760 0.3471 
126 0.2729 0.3375 
127 0.2698 0.3283 
128 0.2669 0.3196 
129 0.2641 0.3113 
130 0.2613 0.3035 
131 0.2587 0.2960 
132 0.2562 0.2890 
133 0.2538 0.2823 
134 0.2514 0.2759 
135 0.2489 0.2697 
136 0.2464 0.2636 
137 0.2439 0.2578 
138 0.2415 0.2522 
139 0.2393 0.2470 
140 0.2373 0.2419 
141 0.2352 0.2370 
142 0.2331 0.2322 
143 0.2312 0.2275 
144 0.2294 0.2229 
145 0.2276 0.2185 
146 0.2253 0.2142 
147 0.2237 0.2099 
148 0.2223 0.2057 
149 0.2190 0.1975 
150 0.2173 0.1935 
151 0.2156 0.1895 
152 0.2136 0.1855 
153 0.2118 0.1816 
154 0.2098 0.1778 
155 0.2076 0.1740 
156 0.2034 0.1667 
157 0.2015 0.1632 
158 0.1995 0.1599 
159 0.1975 0.1566 
160 0.1933 0.1500 
161 0.1910 0.1468 
162 0.1888 0.1437 
163 0.1863 0.1405 
164 0.1814 0.1345 
165 0.1779 0.1315 
166 0.1749 0.1286 
167 0.1722 0.1256 
168 0.1675 0.1199 
169 0.1653 0.1171 
170 0.1631 0.1145 
171 0.1586 0.1092 
172 0.1564 0.1065 
173 0.1540 0.1039 
174 0.1491 0.09858 
175 0.1466 0.09600 
176 0.1419 0.09108 
177 0.1396 0.08870 
178 0.1373 0.08638 
179 0.1325 0.08195 
180 0.1303 0.07978 
181 0.1221 0.07562 
182 0.1201 0.07368 
183 0.1165 0.06990 
184 0.1146 0.06801 
185 0.1124 0.06611 
186 0.1078 0.06242 
187 0.1060 0.06064 
188 0.1023 0.05715 
189 0.1007 0.05543 
190 0.09753 0.05219 
191 0.09483 0.04900 
192 0.09532 0.04744 
193 0.09214 0.04427 
194 0.09048 0.04273 
195 0.08333 0.03976 
196 0.08207 0.03828 
197 0.07784 0.03544 
198 0.07242 0.03277 
199 0.07039 0.03153 
200 0.06594 0.02924 
201 0.06261 0.02716 
202 0.06121 0.02613 
203 0.05835 0.02422 
204 0.05104 0.02242 
205 0.04961 0.02154 
206 0.04582 0.01982 
207 0.04319 0.01821 
208 0.04197 0.01746 
209 0.03967 0.01601 
210 0.03758 0.01470 
211 0.03557 0.01353 
212 0.03466 0.01299 
213 0.03275 0.01189 
214 0.03092 0.01086 
215 0.02517 0.009886 
216 0.02347 0.009019 
217 0.02173 0.008174 
218 0.02082 0.007748 
219 0.01921 0.006984 
220 0.01760 0.006288 
221 0.01622 0.005647 
222 0.01498 0.005039 
223 0.01375 0.004458 
224 0.01266 0.003923 
225 0.01167 0.003448 
226 0.01119 0.003227 
227 0.01026 0.002811 
228 0.009419 0.002440 
229 0.008637 0.002107 
230 0.007970 0.001804 
231 0.007432 0.001576 
232 0.007010 0.001395 
233 0.006617 0.001221 
234 0.006284 0.001079 
235 0.005975 0.0009486 
236 0.005714 0.0008240 
237 0.005476 0.0007225 
238 0.005244 0.0006360 
239 0.004883 0.0005227 
240 0.004704 0.0004684 
241 0.004557 0.0004215 
242 0.004457 0.0003841 
243 0.004374 0.0003530 
244 0.004282 0.0003197 
245 0.004190 0.0002827 
246 0.004089 0.0002464 
247 0.003977 0.0002030 
248 0.003929 0.0001812 
249 0.003860 0.0001587 
250 0.003800 0.0001406 
251 0.003774 0.0001290 
252 0.003751 0.0001180 
253 0.003738 0.0001123 
254 0.003736 0.0001076 
255 0.003739 0.0001019 
