# This file shows results of an evaluation of saliencymaps as described in
# R. Achanta, S. Hemami, F. Estrada and S. Süsstrunk, Frequency-tuned Salient Region Detection, IEEE International Conference on Computer Vision and Pattern Recognition (CVPR), 2009.
#
# threshold mean_precision mean_recall
141 0.4722 0.9392 
142 0.4793 0.9366 
143 0.4864 0.9338 
144 0.4936 0.9310 
145 0.5008 0.9281 
146 0.5080 0.9252 
147 0.5152 0.9222 
148 0.5224 0.9191 
149 0.5368 0.9128 
150 0.5438 0.9094 
151 0.5510 0.9061 
152 0.5581 0.9026 
153 0.5652 0.8992 
154 0.5723 0.8956 
155 0.5793 0.8920 
156 0.5932 0.8846 
157 0.5999 0.8808 
158 0.6066 0.8770 
159 0.6131 0.8730 
160 0.6258 0.8649 
161 0.6320 0.8608 
162 0.6382 0.8565 
163 0.6444 0.8523 
164 0.6565 0.8435 
165 0.6623 0.8390 
166 0.6681 0.8345 
167 0.6738 0.8298 
168 0.6849 0.8203 
169 0.6903 0.8154 
170 0.6955 0.8105 
171 0.7058 0.8004 
172 0.7107 0.7953 
173 0.7156 0.7900 
174 0.7250 0.7794 
175 0.7295 0.7741 
176 0.7383 0.7632 
177 0.7425 0.7576 
178 0.7467 0.7519 
179 0.7549 0.7403 
180 0.7590 0.7343 
181 0.7667 0.7222 
182 0.7705 0.7161 
183 0.7778 0.7036 
184 0.7814 0.6973 
185 0.7849 0.6911 
186 0.7920 0.6785 
187 0.7955 0.6722 
188 0.8023 0.6594 
189 0.8057 0.6531 
190 0.8123 0.6404 
191 0.8188 0.6273 
192 0.8220 0.6207 
193 0.8279 0.6074 
194 0.8307 0.6007 
195 0.8359 0.5870 
196 0.8385 0.5800 
197 0.8432 0.5658 
198 0.8475 0.5513 
199 0.8495 0.5440 
200 0.8535 0.5293 
201 0.8569 0.5146 
202 0.8586 0.5073 
203 0.8619 0.4923 
204 0.8649 0.4772 
205 0.8663 0.4696 
206 0.8691 0.4544 
207 0.8717 0.4392 
208 0.8729 0.4316 
209 0.8754 0.4165 
210 0.8778 0.4013 
211 0.8800 0.3861 
212 0.8811 0.3784 
213 0.8833 0.3631 
214 0.8856 0.3481 
215 0.8877 0.3332 
216 0.8896 0.3185 
217 0.8913 0.3037 
218 0.8921 0.2964 
219 0.8938 0.2819 
220 0.8954 0.2676 
221 0.8968 0.2534 
222 0.8981 0.2392 
223 0.8992 0.2252 
224 0.9001 0.2116 
225 0.9010 0.1983 
226 0.9014 0.1918 
227 0.9023 0.1792 
228 0.9031 0.1673 
229 0.9038 0.1558 
230 0.9044 0.1449 
231 0.9053 0.1347 
232 0.9065 0.1250 
233 0.9072 0.1155 
234 0.9076 0.1066 
235 0.9075 0.09809 
236 0.9067 0.08995 
237 0.9066 0.08229 
238 0.9063 0.07512 
239 0.9052 0.06512 
240 0.9051 0.05904 
241 0.9048 0.05330 
242 0.9047 0.04790 
243 0.9043 0.04277 
244 0.9036 0.03787 
245 0.9017 0.03327 
246 0.9011 0.02900 
247 0.9004 0.02321 
248 0.8996 0.01976 
249 0.8990 0.01643 
250 0.8983 0.01345 
251 0.8964 0.01070 
252 0.8951 0.006874 
253 0.8944 0.004407 
254 0.8948 0.002368 
255 0.8955 0.0008420 
