# This file shows results of an evaluation of saliencymaps as described in
# R. Achanta, S. Hemami, F. Estrada and S. Süsstrunk, Frequency-tuned Salient Region Detection, IEEE International Conference on Computer Vision and Pattern Recognition (CVPR), 2009.
#
# threshold mean_precision mean_recall
142 0.4729 0.9210 
143 0.4797 0.9176 
144 0.4865 0.9140 
145 0.4933 0.9103 
146 0.5001 0.9066 
147 0.5069 0.9028 
148 0.5137 0.8989 
149 0.5271 0.8906 
150 0.5339 0.8863 
151 0.5405 0.8819 
152 0.5471 0.8775 
153 0.5537 0.8729 
154 0.5603 0.8684 
155 0.5668 0.8637 
156 0.5797 0.8540 
157 0.5860 0.8490 
158 0.5923 0.8439 
159 0.5985 0.8389 
160 0.6108 0.8284 
161 0.6169 0.8230 
162 0.6230 0.8176 
163 0.6291 0.8121 
164 0.6411 0.8009 
165 0.6469 0.7951 
166 0.6527 0.7892 
167 0.6583 0.7832 
168 0.6694 0.7710 
169 0.6748 0.7648 
170 0.6801 0.7586 
171 0.6905 0.7457 
172 0.6954 0.7392 
173 0.7003 0.7325 
174 0.7098 0.7188 
175 0.7143 0.7118 
176 0.7230 0.6974 
177 0.7272 0.6902 
178 0.7313 0.6828 
179 0.7393 0.6677 
180 0.7432 0.6601 
181 0.7508 0.6447 
182 0.7544 0.6370 
183 0.7617 0.6213 
184 0.7653 0.6134 
185 0.7688 0.6055 
186 0.7755 0.5895 
187 0.7787 0.5813 
188 0.7849 0.5650 
189 0.7878 0.5568 
190 0.7932 0.5402 
191 0.7982 0.5234 
192 0.8004 0.5149 
193 0.8049 0.4981 
194 0.8070 0.4896 
195 0.8110 0.4728 
196 0.8128 0.4643 
197 0.8160 0.4473 
198 0.8194 0.4305 
199 0.8211 0.4223 
200 0.8242 0.4057 
201 0.8273 0.3893 
202 0.8288 0.3810 
203 0.8314 0.3644 
204 0.8339 0.3481 
205 0.8350 0.3401 
206 0.8373 0.3243 
207 0.8392 0.3089 
208 0.8401 0.3014 
209 0.8416 0.2866 
210 0.8434 0.2725 
211 0.8451 0.2586 
212 0.8460 0.2518 
213 0.8474 0.2386 
214 0.8494 0.2259 
215 0.8513 0.2138 
216 0.8529 0.2023 
217 0.8546 0.1912 
218 0.8554 0.1858 
219 0.8571 0.1752 
220 0.8590 0.1651 
221 0.8609 0.1553 
222 0.8620 0.1461 
223 0.8633 0.1371 
224 0.8646 0.1285 
225 0.8661 0.1202 
226 0.8669 0.1162 
227 0.8683 0.1085 
228 0.8692 0.1011 
229 0.8704 0.09405 
230 0.8717 0.08729 
231 0.8726 0.08097 
232 0.8734 0.07490 
233 0.8734 0.06913 
234 0.8732 0.06368 
235 0.8718 0.05852 
236 0.8700 0.05363 
237 0.8686 0.04907 
238 0.8671 0.04482 
239 0.8646 0.03888 
240 0.8630 0.03522 
241 0.8604 0.03175 
242 0.8597 0.02854 
243 0.8593 0.02549 
244 0.8590 0.02264 
245 0.8581 0.01990 
246 0.8561 0.01733 
247 0.8547 0.01369 
248 0.8530 0.01148 
249 0.8504 0.009392 
250 0.8486 0.007355 
251 0.8489 0.005578 
252 0.8459 0.003268 
253 0.8451 0.001962 
254 0.8415 0.001033 
255 0.8397 0.0003618 
